   8.000000000000E-004                   NaN                   NaN   8.000000000000E-004   1.132442426384E+001   1.132442426384E+001   2.486898871650E-001   2.486898871650E-001  -2.486898871650E-001   2.195240594370E-002   2.815233283156E+000
   1.600000000000E-003                   NaN                   NaN   1.600000000000E-003   2.194146116622E+001   2.194146116622E+001   4.817536741020E-001   4.817536741020E-001  -4.817536741020E-001   2.195240594370E-002   1.056849670047E+001
   2.400000000000E-003                   NaN                   NaN   2.400000000000E-003   3.118009058230E+001   3.118009058230E+001   6.845471059294E-001   6.845471059294E-001  -6.845471059294E-001   2.195240594370E-002   2.134208622318E+001
   3.200000000000E-003                   NaN                   NaN   3.200000000000E-003   3.845942944059E+001   3.845942944059E+001   8.443279255020E-001   8.443279255020E-001  -8.443279255020E-001   2.195240594370E-002   3.247041199606E+001
   4.000000000000E-003                   NaN                   NaN   4.000000000000E-003   4.332222103890E+001   4.332222103890E+001   9.510565162950E-001   9.510565162950E-001  -9.510565162950E-001   2.195240594370E-002   4.120060115540E+001
   4.800000000000E-003                   NaN                   NaN   4.800000000000E-003   4.546291760817E+001   4.546291760817E+001   9.980267284279E-001   9.980267284279E-001  -9.980267284279E-001   2.195240594370E-002   4.537292024937E+001
   5.600000000000E-003                   NaN                   NaN   5.600000000000E-003   4.474701235556E+001   4.474701235556E+001   9.822872507292E-001   9.822872507292E-001  -9.822872507292E-001   2.195240594370E-002   4.395519517804E+001
   6.400000000000E-003                   NaN                   NaN   6.400000000000E-003   4.121948773991E+001   4.121948773991E+001   9.048270524659E-001   9.048270524659E-001  -9.048270524659E-001   2.195240594370E-002   3.729815123084E+001
   7.200000000000E-003                   NaN                   NaN   7.200000000000E-003   3.510199093741E+001   3.510199093741E+001   7.705132427759E-001   7.705132427759E-001  -7.705132427759E-001   2.195240594370E-002   2.704865188552E+001
   8.000000000000E-003                   NaN                   NaN   8.000000000000E-003   2.677890696499E+001   2.677890696499E+001   5.877852522919E-001   5.877852522919E-001  -5.877852522919E-001   2.195240594370E-002   1.574228671431E+001
   8.800000000000E-003                   NaN                   NaN   8.800000000000E-003   1.677320577348E+001   1.677320577348E+001   3.681245526851E-001   3.681245526851E-001  -3.681245526851E-001   2.195240594370E-002   6.176099369875E+000
   9.600000000000E-003                   NaN                   NaN   9.600000000000E-003   5.713582530218E+000   5.713582530218E+000   1.253332335640E-001   1.253332335640E-001  -1.253332335640E-001   2.195240594370E-002   7.166368480780E-001
   1.040000000000E-002                   NaN                   NaN   1.040000000000E-002  -5.705046349514E+000  -5.705046349514E+000  -1.253332335640E-001  -1.253332335640E-001   1.253332335640E-001   2.195240594370E-002   7.144971145918E-001
   1.120000000000E-002                   NaN                   NaN   1.120000000000E-002  -1.676520613200E+001  -1.676520613200E+001  -3.681245526850E-001  -3.681245526850E-001   3.681245526850E-001   2.195240594370E-002   6.170209643171E+000
   1.200000000000E-002                   NaN                   NaN   1.200000000000E-002  -2.677194611551E+001  -2.677194611551E+001  -5.877852522920E-001  -5.877852522920E-001   5.877852522920E-001   2.195240594370E-002   1.573410374802E+001
   1.280000000000E-002                   NaN                   NaN   1.280000000000E-002  -3.509650644399E+001  -3.509650644399E+001  -7.705132427759E-001  -7.705132427759E-001   7.705132427759E-001   2.195240594370E-002   2.704020013905E+001
   1.360000000000E-002                   NaN                   NaN   1.360000000000E-002  -4.121582432742E+001  -4.121582432742E+001  -9.048270524657E-001  -9.048270524657E-001   9.048270524657E-001   2.195240594370E-002   3.729152172384E+001
   1.440000000000E-002                   NaN                   NaN   1.440000000000E-002  -4.474540012262E+001  -4.474540012262E+001  -9.822872507291E-001  -9.822872507291E-001   9.822872507291E-001   2.195240594370E-002   4.395202782752E+001
   1.520000000000E-002                   NaN                   NaN   1.520000000000E-002  -4.546345810679E+001  -4.546345810679E+001  -9.980267284270E-001  -9.980267284270E-001   9.980267284270E-001   2.195240594370E-002   4.537399911310E+001
   1.600000000000E-002                   NaN                   NaN   1.600000000000E-002  -4.332487967088E+001  -4.332487967088E+001  -9.510565162950E-001  -9.510565162950E-001   9.510565162950E-001   2.195240594370E-002   4.120565817207E+001
   1.680000000000E-002                   NaN                   NaN   1.680000000000E-002  -3.846403953661E+001  -3.846403953661E+001  -8.443279255020E-001  -8.443279255020E-001   8.443279255020E-001   2.195240594370E-002   3.247819685876E+001
   1.760000000000E-002                   NaN                   NaN   1.760000000000E-002  -3.118636277971E+001  -3.118636277971E+001  -6.845471059290E-001  -6.845471059290E-001   6.845471059290E-001   2.195240594370E-002   2.135067344916E+001
   1.840000000000E-002                   NaN                   NaN   1.840000000000E-002  -2.194913194249E+001  -2.194913194249E+001  -4.817536741020E-001  -4.817536741020E-001   4.817536741020E-001   2.195240594370E-002   1.057588752499E+001
   1.920000000000E-002                   NaN                   NaN   1.920000000000E-002  -1.133275627210E+001  -1.133275627210E+001  -2.486898871650E-001  -2.486898871650E-001   2.486898871650E-001   2.195240594370E-002   2.819377454297E+000
   2.000000000000E-002                   NaN                   NaN   2.000000000000E-002  -4.302033675360E-003  -4.302033675361E-003  -1.215376637761E-015  -1.246131540272E-015   1.203161487159E-015   2.195240594370E-002   4.062840156675E-007
   2.080000000000E-002                   NaN                   NaN   2.080000000000E-002   1.132442262171E+001   1.132442262171E+001   2.486898871650E-001   2.486898871650E-001  -2.486898871650E-001   2.195240594370E-002   2.815232466694E+000
   2.160000000000E-002                   NaN                   NaN   2.160000000000E-002   2.194159214212E+001   2.194159214212E+001   4.817536741018E-001   4.817536741018E-001  -4.817536741018E-001   2.195240594370E-002   1.056862287462E+001
